_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest,is_this_tweet_related_to_turkish_protests_2013,created_at,does_this_tweet_reportdiscuss_violent_incidents_happened_during_the_protest_gold,id,is_this_tweet_related_to_turkish_protests_2013_gold,proccd_text,text
1657977620,3/30/2018 15:04:23,TRUE,3525070669,,3/30/2018 15:02:15,FALSE,clixsense,1,42468422,TUR,68,Ankara,176.88.19.7,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,3/30/2018 15:12:35,TRUE,3525098270,,3/30/2018 15:07:33,TRUE,clixsense,1,42739585,TUR,59,Tekirdag,94.120.163.34,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,3/30/2018 15:13:03,TRUE,3525099825,,3/30/2018 15:10:58,FALSE,clixsense,0.976,44042396,TUR,19,Ã‡orum,78.163.26.195,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,04/03/18 16:27,TRUE,3535776439,,04/03/18 16:25,FALSE,clixsense,0.96,44118241,TUR,46,Kahramanmaras,78.185.110.209,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,04/03/18 18:22,TRUE,3536059399,,04/03/18 18:20,TRUE,clixsense,1,40031413,TUR,,,78.176.71.46,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,04/03/18 21:17,TRUE,3536481651,,04/03/18 21:15,FALSE,clixsense,0.992,44345971,TUR,,,109.228.202.2,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,04/03/18 21:50,TRUE,3536559944,,04/03/18 21:48,FALSE,clixsense,1,44348885,TUR,68,Ankara,37.155.235.15,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,04/04/18 01:29,TRUE,3537233449,,04/04/18 01:08,TRUE,neodev,1,43989052,TUR,34,Istanbul,176.232.12.9,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,04/04/18 12:02,TRUE,3538873216,,04/04/18 12:00,FALSE,clixsense,1,44031296,TUR,34,Istanbul,176.240.96.81,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
1657977620,04/04/18 15:31,TRUE,3539585541,,04/04/18 15:26,TRUE,clixsense,1,32765965,TUR,21,Diyarbakir,94.122.134.229,,0,Sat Jun 08 18:45:54 +0000 2013,,3.43439E+17,0,,Princes Island Tour from Istanbul http://t.co/GKUibEBBH9
